"ds","y","y_im"
1973-01-01,NA,325.211225863059
1973-01-02,NA,325.210288868987
1973-01-03,NA,325.209351874895
1973-01-04,NA,325.208414880802
1973-01-05,NA,325.20747788671
1973-01-06,NA,325.206540892618
1973-01-07,NA,325.205603898526
1973-01-08,NA,325.204666904434
1973-01-09,NA,325.203729910342
1973-01-10,NA,325.20279291625
1973-01-11,NA,325.201855922158
1973-01-12,NA,325.200918928066
1973-01-13,NA,325.199981933974
1973-01-14,NA,325.199044939881
1973-01-15,NA,325.198107945789
1973-01-16,NA,325.197170951697
1973-01-17,NA,325.196233957605
1973-01-18,NA,325.195296963513
1973-01-19,NA,325.194359969421
1973-01-20,NA,325.193422975329
1973-01-21,NA,325.192485981237
1973-01-22,NA,325.191548987145
1973-01-23,NA,325.190611993053
1973-01-24,NA,325.18967499896
1973-01-25,NA,325.188738004868
1973-01-26,NA,325.187801010776
1973-01-27,NA,325.186864016684
1973-01-28,NA,325.185927022592
1973-01-29,NA,325.1849900285
1973-01-30,NA,325.184053034408
1973-01-31,NA,325.183116040316
1973-02-01,NA,325.182179046224
1973-02-02,NA,325.181242052132
1973-02-03,NA,325.180305058039
1973-02-04,NA,325.179368063947
1973-02-05,NA,325.178431069855
1973-02-06,NA,325.177494075763
1973-02-07,NA,325.176557081671
1973-02-08,NA,325.175620087579
1973-02-09,NA,325.174683093487
1973-02-10,NA,325.173746099395
1973-02-11,NA,325.172809105303
1973-02-12,NA,325.171872111211
1973-02-13,NA,325.170935117119
1973-02-14,NA,325.169998123026
1973-02-15,NA,325.169061128934
1973-02-16,NA,325.168124134842
1973-02-17,NA,325.16718714075
1973-02-18,NA,325.166250146658
1973-02-19,NA,325.165313152566
1973-02-20,NA,325.164376158474
1973-02-21,NA,325.163439164382
1973-02-22,NA,325.16250217029
1973-02-23,NA,325.161565176198
1973-02-24,NA,325.160628182105
1973-02-25,NA,325.159691188013
1973-02-26,NA,325.158754193921
1973-02-27,NA,325.157817199829
1973-02-28,NA,325.156880205737
1973-03-01,NA,325.155943211645
1973-03-02,NA,325.155006217553
1973-03-03,NA,325.154069223461
1973-03-04,NA,325.153132229369
1973-03-05,NA,325.152195235277
1973-03-06,NA,325.151258241185
1973-03-07,NA,325.150321247092
1973-03-08,NA,325.149384253
1973-03-09,NA,325.148447258908
1973-03-10,NA,325.147510264816
1973-03-11,NA,325.146573270724
1973-03-12,NA,325.145636276632
1973-03-13,NA,325.14469928254
1973-03-14,NA,325.143762288448
1973-03-15,NA,325.142825294356
1973-03-16,NA,325.141888300264
1973-03-17,NA,325.140951306171
1973-03-18,NA,325.140014312079
1973-03-19,NA,325.139077317987
1973-03-20,NA,325.138140323895
1973-03-21,NA,325.137203329803
1973-03-22,NA,325.136266335711
1973-03-23,NA,325.135329341619
